"name","amg_person_id","top_genre","birthday","id"
"Spencer Tracy","P 71578","Drama","1900-04-05 00:00:00.000",1
"Helen Hayes","P 31226","Drama","1900-10-10 00:00:00.000",2
"Jean Arthur","P  2459","Comedy","1900-10-17 00:00:00.000",3
"Agnes Moorehead","P 50390","Comedy","1900-12-06 00:00:00.000",4
"Katina Paxinou","P 55568","Drama","1900-12-17 00:00:00.000",5
"Mildred Dunnock","P 20663","Drama","1901-01-25 00:00:00.000",6
"Clark Gable","P 10097","Drama","1901-02-01 00:00:00.000",7
"Ed Begley","P  5006","Drama","1901-03-25 00:00:00.000",8
"Melvyn Douglas","P 19878","Drama","1901-04-05 00:00:00.000",9
"Gary Cooper","P 14817","Drama","1901-05-07 00:00:00.000",10
"Vittorio De Sica","P 87213","Drama","1901-07-07 00:00:00.000",11
"James Dunn","P 20621","Drama","1901-11-02 00:00:00.000",12
"Lee Strasberg","P 68625","Crime","1901-11-17 00:00:00.000",13
"Stuart Erwin","P 22072","Comedy","1902-02-14 00:00:00.000",14
"Flora Robson","P 60865","Drama","1902-03-28 00:00:00.000",15
"Brian Aherne","P   499","Drama","1902-05-02 00:00:00.000",16
"Norma Shearer","P 65025","Drama","1902-08-10 00:00:00.000",17
"John Houseman","P 94949","Drama","1902-09-22 00:00:00.000",18
"Elsa Lanchester","P 40228","Comedy","1902-10-28 00:00:00.000",19
"Ralph Richardson","P 60087","Drama","1902-12-19 00:00:00.000",20
"Bing Crosby","P 15874","Comedy","1903-05-03 00:00:00.000",21
"Anne Revere","P 59718","Drama","1903-06-25 00:00:00.000",22
"Chill Wills","P 76661","Western","1903-07-18 00:00:00.000",23
"Claudette Colbert","P 14003","Drama","1903-09-13 00:00:00.000",24
"Dean Jagger","P 35003","Drama","1903-11-07 00:00:00.000",25
"Jack Oakie","P 53725","Comedy","1903-11-12 00:00:00.000",26
"Una Merkel","P 48558","Comedy","1903-12-10 00:00:00.000",27
"Cary Grant","P 28204","Comedy","1904-01-18 00:00:00.000",28
"John Gielgud","P 26803","Drama","1904-04-14 00:00:00.000",29
"Robert Montgomery","P103333","Drama","1904-05-21 00:00:00.000",30
"Ralph Bellamy","P  5165","Drama","1904-06-17 00:00:00.000",31
"Gladys George","P 26459","Drama","1904-09-13 00:00:00.000",32
"Greer Garson","P 26066","Drama","1904-09-29 00:00:00.000",33
"Ray Milland","P102824","Drama","1905-01-03 00:00:00.000",34
"Thelma Ritter","P 60402","Comedy","1905-02-14 00:00:00.000",35
"Robert Donat","P 19618","Drama","1905-03-18 00:00:00.000",36
"Henry Fonda","P 24097","Drama","1905-05-16 00:00:00.000",37
"Mildred Natwick","P 51957","Comedy","1905-06-19 00:00:00.000",38
"Thomas Gomez","P 27572","Drama","1905-07-10 00:00:00.000",39
"William Gargan","P 25942","Drama","1905-07-17 00:00:00.000",40
"Leo Genn","P 26399","Drama","1905-08-09 00:00:00.000",41
"Greta Garbo","P 25821","Drama","1905-09-18 00:00:00.000",42
"Mischa Auer","P  2817","Comedy","1905-11-17 00:00:00.000",43
"William Bendix","P  5281","Drama","1906-01-04 00:00:00.000",44
"Eddie Albert","P   669","Comedy","1906-04-22 00:00:00.000",45
"Mary Astor","P  2657","Drama","1906-05-03 00:00:00.000",46
"George Sanders","P 62948","Drama","1906-07-03 00:00:00.000",47
"John Huston","P 95260","Drama","1906-08-05 00:00:00.000",48
"Joan Blondell","P  6812","Comedy","1906-08-30 00:00:00.000",49
